"Код1"	"Код"	"Тип коммуникации"	"Значение"	"Источник3"	"Приоритет"	"Градация ОМО"	"Градация ОИО"	"Значение_уникальное"
1	1.00	"Водоотведение"	"Ручной разбор"	"Оценка2020"	0.00			"Ручной разбор_Водоотведение_Оценка2020"
2	2.00	"Водоотведение"	"Наличие водоотведения"	"Ресурсоснабжающие2022"	1.00	"Наличие централизованного водоотведения"	"Наличие централизованного водоотведения"	"Наличие водоотведения_Водоотведение_Ресурсоснабжающие2022"
3	3.00	"Водоотведение"	"Потребитель канализации"	"Графика2022"	2.00	"Наличие централизованного водоотведения"	"Наличие централизованного водоотведения"	"Потребитель канализации_Водоотведение_Графика2022"
4	4.00	"Водоотведение"	"Потребитель канализации из зданий"	"Графика2022"	3.00	"Наличие централизованного водоотведения"	"Наличие централизованного водоотведения"	"Потребитель канализации из зданий_Водоотведение_Графика2022"
5	5.00	"Водоотведение"	"Потребитель канализации из линий"	"Графика2022"	4.00	"Наличие централизованного водоотведения"	"Наличие централизованного водоотведения"	"Потребитель канализации из линий_Водоотведение_Графика2022"
6	6.00	"Водоотведение"	"Потребитель канализации из буферной зоны"	"Графика2022"	5.00	"Наличие централизованного водоотведения"	"Наличие централизованного водоотведения"	"Потребитель канализации из буферной зоны_Водоотведение_Графика2022"
7	7.00	"Водоотведение"	"Наличие водоотведения"	"Оценка2020"	6.00	"Наличие централизованного водоотведения"	"Наличие централизованного водоотведения"	"Наличие водоотведения_Водоотведение_Оценка2020"
8	8.00	"Водоотведение"	"наличие"	"Оценка2020"	7.00	"Наличие централизованного водоотведения"	"Наличие централизованного водоотведения"	"наличие_Водоотведение_Оценка2020"
9	9.00	"Водоотведение"	"Потребитель канализации автономное выгребная яма"	"Графика2022"	8.00	"Отсутствие централизованного водоотведения"	"Отсутствие централизованного водоотведения"	"Потребитель канализации автономное выгребная яма_Водоотведение_Графика2022"
10	10.00	"Водоотведение"	"Канализация"	"Графика2022"	9.00	"Отсутствие централизованного водоотведения"	"Возможность централизованного водоотведения"	"Канализация_Водоотведение_Графика2022"
11	11.00	"Водоотведение"	"пересечение"	"Оценка2020"	10.00	"Отсутствие централизованного водоотведения"	"Возможность централизованного водоотведения"	"пересечение_Водоотведение_Оценка2020"
12	12.00	"Водоотведение"	"отсутствие"	"Оценка2020"	11.00	"Отсутствие централизованного водоотведения"	"Отсутствие централизованного водоотведения"	"отсутствие_Водоотведение_Оценка2020"
13	13.00	"Водоотведение"	"Отсутствие водоотведения"	"Оценка2020"	12.00	"Отсутствие централизованного водоотведения"	"Отсутствие централизованного водоотведения"	"Отсутствие водоотведения_Водоотведение_Оценка2020"
14	14.00	"Водоотведение"	"Отсутствие водоотведения"	"Ресурсоснабжающие2022"	13.00	"Отсутствие централизованного водоотведения"	"Отсутствие централизованного водоотведения"	"Отсутствие водоотведения_Водоотведение_Ресурсоснабжающие2022"
15	15.00	"Водоснабжение"	"Ручной разбор"	"Оценка2020"	0.00			"Ручной разбор_Водоснабжение_Оценка2020"
16	16.00	"Водоснабжение"	"Наличие водоснабжения"	"Ресурсоснабжающие2022"	1.00	"Наличие централизованного водоснабжения"	"Наличие централизованного водоснабжения"	"Наличие водоснабжения_Водоснабжение_Ресурсоснабжающие2022"
17	17.00	"Водоснабжение"	"Потребитель водоснабжения"	"Графика2022"	2.00	"Наличие централизованного водоснабжения"	"Наличие централизованного водоснабжения"	"Потребитель водоснабжения_Водоснабжение_Графика2022"
18	18.00	"Водоснабжение"	"Потребитель водоснабжения из линий"	"Графика2022"	3.00	"Наличие централизованного водоснабжения"	"Наличие централизованного водоснабжения"	"Потребитель водоснабжения из линий_Водоснабжение_Графика2022"
19	19.00	"Водоснабжение"	"Потребитель водоснабжения автономное скважина"	"Графика2022"	4.00	"Отсутствие централизованного водоснабжения"	"Скважина"	"Потребитель водоснабжения автономное скважина_Водоснабжение_Графика2022"
20	20.00	"Водоснабжение"	"Водоразборная колонка"	"Графика2022"	5.00	"Отсутствие централизованного водоснабжения"	"Возможность централизованного водоснабжения"	"Водоразборная колонка_Водоснабжение_Графика2022"
21	21.00	"Водоснабжение"	"наличие"	"Оценка2020"	6.00	"Наличие централизованного водоснабжения"	"Наличие централизованного водоснабжения"	"наличие_Водоснабжение_Оценка2020"
22	22.00	"Водоснабжение"	"Водопровод"	"Графика2022"	7.00	"Отсутствие централизованного водоснабжения"	"Возможность централизованного водоснабжения"	"Водопровод_Водоснабжение_Графика2022"
23	23.00	"Водоснабжение"	"пересечение"	"Оценка2020"	8.00	"Отсутствие централизованного водоснабжения"	"Возможность централизованного водоснабжения"	"пересечение_Водоснабжение_Оценка2020"
24	24.00	"Водоснабжение"	"отсутствие"	"Оценка2020"	9.00	"Отсутствие централизованного водоснабжения"	"Отсутствие централизованного водоснабжения"	"отсутствие_Водоснабжение_Оценка2020"
25	25.00	"Водоснабжение"	"Отсутствие водоснабжения"	"Ресурсоснабжающие2022"	10.00	"Отсутствие централизованного водоснабжения"	"Отсутствие централизованного водоснабжения"	"Отсутствие водоснабжения_Водоснабжение_Ресурсоснабжающие2022"
26	26.00	"Газоснабжение"	"Наличие газоснабжения"	"Ресурсоснабжающие2022"	1.00	"Наличие централизованного газоснабжения"	"Наличие централизованного газоснабжения"	"Наличие газоснабжения_Газоснабжение_Ресурсоснабжающие2022"
27	27.00	"Газоснабжение"	"Потребитель газоснабжения"	"Графика2022"	2.00	"Наличие централизованного газоснабжения"	"Наличие централизованного газоснабжения"	"Потребитель газоснабжения_Газоснабжение_Графика2022"
28	28.00	"Газоснабжение"	"Потребитель газоснабжения из линий"	"Графика2022"	3.00	"Наличие централизованного газоснабжения"	"Наличие централизованного газоснабжения"	"Потребитель газоснабжения из линий_Газоснабжение_Графика2022"
29	29.00	"Газоснабжение"	"наличие газоснабжения"	"Оценка2020"	4.00	"Наличие централизованного газоснабжения"	"Наличие централизованного газоснабжения"	"наличие газоснабжения_Газоснабжение_Оценка2020"
30	30.00	"Газоснабжение"	"наличие"	"Оценка2020"	5.00	"Наличие централизованного газоснабжения"	"Наличие централизованного газоснабжения"	"наличие_Газоснабжение_Оценка2020"
31	31.00	"Газоснабжение"	"Газопровод"	"Графика2022"	6.00	"Отсутствие централизованного газоснабжения"	"Возможность централизованного газоснабжения"	"Газопровод_Газоснабжение_Графика2022"
32	32.00	"Газоснабжение"	"пересечение"	"Оценка2020"	7.00	"Отсутствие централизованного газоснабжения"	"Возможность централизованного газоснабжения"	"пересечение_Газоснабжение_Оценка2020"
33	33.00	"Газоснабжение"	"отсутствие газоснабжения"	"Оценка2020"	8.00	"Отсутствие централизованного газоснабжения"	"Отсутствие централизованного газоснабжения"	"отсутствие газоснабжения_Газоснабжение_Оценка2020"
34	34.00	"Газоснабжение"	"отсутствие"	"Оценка2020"	9.00	"Отсутствие централизованного газоснабжения"	"Отсутствие централизованного газоснабжения"	"отсутствие_Газоснабжение_Оценка2020"
35	35.00	"Газоснабжение"	"Отсутствие газоснабжения"	"Ресурсоснабжающие2022"	10.00	"Отсутствие централизованного газоснабжения"	"Отсутствие централизованного газоснабжения"	"Отсутствие газоснабжения_Газоснабжение_Ресурсоснабжающие2022"
36	36.00	"Теплоснабжение"	"Ручной разбор"	"Оценка2020"	0.00			"Ручной разбор_Теплоснабжение_Оценка2020"
37	37.00	"Теплоснабжение"	"Наличие теплоснабжения"	"Ресурсоснабжающие2022"	1.00	"Наличие централизованного теплоснабжения"	"Наличие централизованного теплоснабжения"	"Наличие теплоснабжения_Теплоснабжение_Ресурсоснабжающие2022"
38	38.00	"Теплоснабжение"	"Потребитель теплоснабжения"	"Графика2022"	2.00	"Наличие централизованного теплоснабжения"	"Наличие централизованного теплоснабжения"	"Потребитель теплоснабжения _Теплоснабжение_Графика2022"
39	39.00	"Теплоснабжение"	"Потребитель теплоснабжения из зданий"	"Графика2022"	3.00	"Наличие централизованного теплоснабжения"	"Наличие централизованного теплоснабжения"	"Потребитель теплоснабжения из зданий_Теплоснабжение_Графика2022"
40	40.00	"Теплоснабжение"	"Потребитель теплоснабжения из линий"	"Графика2022"	4.00	"Наличие централизованного теплоснабжения"	"Наличие централизованного теплоснабжения"	"Потребитель теплоснабжения из линий_Теплоснабжение_Графика2022"
41	41.00	"Теплоснабжение"	"Наличие теплоснабжения"	"Оценка2020"	5.00	"Наличие централизованного теплоснабжения"	"Наличие централизованного теплоснабжения"	"Наличие теплоснабжения_Теплоснабжение_Оценка2020"
42	42.00	"Теплоснабжение"	"наличие"	"Оценка2020"	6.00	"Наличие централизованного теплоснабжения"	"Наличие централизованного теплоснабжения"	"наличие_Теплоснабжение_Оценка2020"
43	43.00	"Теплоснабжение"	"Теплосеть"	"Графика2022"	7.00	"Отсутствие централизованного теплоснабжения"	"Отсутствие централизованного теплоснабжения"	"Теплосеть_Теплоснабжение_Графика2022"
44	44.00	"Теплоснабжение"	"пересечение"	"Оценка2020"	8.00	"Отсутствие централизованного теплоснабжения"	"Отсутствие централизованного теплоснабжения"	"пересечение_Теплоснабжение_Оценка2020"
45	45.00	"Теплоснабжение"	"Потребитель теплоснабжения автономное"	"Графика2022"	9.00	"Отсутствие централизованного теплоснабжения"	"Отсутствие централизованного теплоснабжения"	"Потребитель теплоснабжения автономное_Теплоснабжение_Графика2022"
46	46.00	"Теплоснабжение"	"Потребитель теплоснабжения автономное печное"	"Графика2022"	10.00	"Отсутствие централизованного теплоснабжения"	"Отсутствие централизованного теплоснабжения"	"Потребитель теплоснабжения автономное печное_Теплоснабжение_Графика2022"
47	47.00	"Теплоснабжение"	"отсутствие"	"Оценка2020"	11.00	"Отсутствие централизованного теплоснабжения"	"Отсутствие централизованного теплоснабжения"	"отсутствие_Теплоснабжение_Оценка2020"
48	48.00	"Теплоснабжение"	"Отсутствие теплоснабжения"	"Оценка2020"	12.00	"Отсутствие централизованного теплоснабжения"	"Отсутствие централизованного теплоснабжения"	"Отсутствие теплоснабжения_Теплоснабжение_Оценка2020"
49	49.00	"Теплоснабжение"	"Отсутствие теплоснабжения"	"Ресурсоснабжающие2022"	13.00	"Отсутствие централизованного теплоснабжения"	"Отсутствие централизованного теплоснабжения"	"Отсутствие теплоснабжения_Теплоснабжение_Ресурсоснабжающие2022"
50	50.00	"Электроснабжение"	"нет"	"Оценка2020"		"Отсутствие электроснабжения"	"Отсутствие электроснабжения"	"нет_Электроснабжение_Оценка2020"
